"Column","GrowthRate_in_percent"
"TATASTEEL",132.311201216422
"WIPRO",67.1583667689403
"TITAN",-32.3915622940013
"ULTRACEMO",9.75890293041653
"TECHM",94.5078847199565
"RELIANCE",147.017929015734
"SHREECEM",1221.1308539294
"SUNPHARMA",-61.5967498972931
"TATAMOTORS",-57.4918845036733
"TCS",242.837478640592
"SBIN",-84.6613203270334
"NESTLEIND",444.316133393421
"NTPC",-22.6708074534161
"M.M",21.5133724722766
"MARUTI",397.043028575217
"ONGC",-87.9448213135256
"POWERGRID",-5.10085787155113
"JSWSTEEL",-48.4486607142857
"KOTAKBANK",331.015700096123
"LT",-14.143134761642
"ICICIBANK",-40.9659090909091
"INDUSBANK",323.150900507082
"INFY",-41.5248027537788
"IOC",-68.2194372192008
"ITC",49.2871690427699
"HEROMOTOCO",36.9827122371161
"HINDALCO",142.357360882836
"HINDUNILVR",799.524698692921
"HCLTECH",206.804806277587
"HDFCBANK",-28.1712923548442
"HDFC",295.208948923596
"DRREDDYS",195.354100899398
"EICHERMOTOR",119.721997612722
"GRASIM",-24.532770648523
"CIPLA",155.566461020752
"COALINDIA",-42.7325128524692
"BPCL",-39.1494435612083
"BRITANNIA",842.720561539393
"ADANIPORTS",544.823482744942
"BAJAJFINSERV",3856.96094168004
"BAJAJFINANCE",884.585524668169
"BHARTIARTL",104.533253802565
"AXISBANK",-47.0104386892178
"BAJAJ.AUTO",159.082149273232
"ASIANPAINT",21.912718803719
"UPL",353.654837731271
